object_name,object_type,row_count,n_columns,n_distinct_research_id,is_empty,has_version_twin,twin_name,twin_is_higher_version,is_identical_to_twin,is_referenced_by_view,n_view_refs,is_referenced_by_script,n_script_refs,action,destination,reason
note_entities_operative_detail,BASE TABLE,12151,48,4032,False,False,,False,,False,0,True,16,LIVE,,referenced by 16 python ref(s)
note_entities_problem_list,BASE TABLE,11579,48,4037,False,False,,False,,False,0,True,39,LIVE,,referenced by 39 python ref(s)
note_entities_procedures,BASE TABLE,21942,48,4723,False,False,,False,,False,0,True,48,LIVE,,referenced by 48 python ref(s)
note_entities_staging,BASE TABLE,3807,48,1639,False,False,,False,,False,0,True,38,LIVE,,referenced by 38 python ref(s)
nsqip_enrichment,BASE TABLE,1275,94,1261,False,False,,False,,False,0,True,12,LIVE,,referenced by 12 python ref(s)
nsqip_patient_summary,BASE TABLE,1261,94,1261,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
nuclear_med,BASE TABLE,2220,17,1148,False,False,,False,,False,0,True,35,LIVE,,referenced by 35 python ref(s)
operative_episode_detail_v2,BASE TABLE,9371,39,9368,False,False,,False,,False,0,True,100,LIVE,,referenced by 100 python ref(s)
path_outcome_classification_v1,BASE TABLE,10871,9,10871,False,False,,False,,False,0,True,6,LIVE,,referenced by 6 python ref(s)
path_size_adjudication_v241,BASE TABLE,96,8,96,False,False,,False,,False,0,True,4,LIVE,,referenced by 4 python ref(s)
path_synoptics,BASE TABLE,11688,311,10871,False,False,,False,,False,0,True,136,LIVE,,referenced by 136 python ref(s)
patient_analysis_resolved_v1,BASE TABLE,10871,146,10871,False,False,,False,,False,0,True,37,LIVE,,referenced by 37 python ref(s)
patient_completion_oed_path_linkage_v1,BASE TABLE,11506,24,11506,False,False,,False,,False,0,True,7,LIVE,,referenced by 7 python ref(s)
patient_cross_domain_timeline_v2,BASE TABLE,61055,6,11506,False,False,,False,,False,0,True,18,LIVE,,referenced by 18 python ref(s)
patient_tumor_rollup_v1,BASE TABLE,8422,41,8422,False,False,,False,,False,0,True,14,LIVE,,referenced by 14 python ref(s)
rai_treatment_episode_v2,BASE TABLE,1857,32,862,False,False,,False,,False,0,True,80,LIVE,,referenced by 80 python ref(s)
recurrence_event_clean_v1,BASE TABLE,1946,11,1946,False,False,,False,,False,0,True,19,LIVE,,referenced by 19 python ref(s)
ret_note_entity_adjudication_v226,BASE TABLE,177,13,66,False,False,,False,,False,0,True,4,LIVE,,referenced by 4 python ref(s)
ret_patient_adjudicated_v226,BASE TABLE,66,8,66,False,False,,False,,False,0,True,12,LIVE,,referenced by 12 python ref(s)
serial_imaging_us,BASE TABLE,4162,6,1443,False,False,,False,,False,0,True,21,LIVE,,referenced by 21 python ref(s)
specimen_genomic_assay_v1,BASE TABLE,10370,24,10026,False,False,,False,,False,0,True,17,LIVE,,referenced by 17 python ref(s)
specimen_master_v1,BASE TABLE,10139,17,8422,False,False,,False,,False,0,True,18,LIVE,,referenced by 18 python ref(s)
specimen_source_xref_v1,BASE TABLE,11273,9,,False,False,,False,,False,0,True,10,LIVE,,referenced by 10 python ref(s)
specimen_tumor_focus_v1,BASE TABLE,11103,21,8422,False,False,,False,,False,0,True,24,LIVE,,referenced by 24 python ref(s)
survival_cohort_enriched,BASE TABLE,61134,28,10507,False,False,,False,,False,0,True,31,LIVE,,referenced by 31 python ref(s)
synoptic_tumor_long_v1,BASE TABLE,11103,22,8422,False,False,,False,,False,0,True,37,LIVE,,referenced by 37 python ref(s)
tg_postop_surveillance_windows_v1,BASE TABLE,16184,12,3250,False,False,,False,,False,0,True,11,LIVE,,referenced by 11 python ref(s)
tg_timeline_patient_summary_v1,BASE TABLE,3258,20,3258,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
thyroglobulin_lab_canonical_cancer_only_v1,VIEW,60385,22,2721,False,False,,False,,True,1,True,1,LIVE,,referenced by 1 python ref(s) and 1 view ref(s)
thyroglobulin_lab_canonical_v1,BASE TABLE,74258,22,3124,False,False,,False,,True,1,True,31,LIVE,,referenced by 31 python ref(s) and 1 view ref(s)
thyroid_sizes,BASE TABLE,11675,16,11671,False,False,,False,,False,0,True,15,LIVE,,referenced by 15 python ref(s)
thyroid_weights,BASE TABLE,10001,9,10001,False,False,,False,,False,0,True,22,LIVE,,referenced by 22 python ref(s)
thyroseq_molecular_enrichment,BASE TABLE,10861,25,10861,False,False,,False,,False,0,True,25,LIVE,,referenced by 25 python ref(s)
tirads_llm_extracted_v2,BASE TABLE,5636,26,1429,False,False,,False,,False,0,True,12,LIVE,,referenced by 12 python ref(s)
tirads_llm_validation_v2,BASE TABLE,1225,27,624,False,False,,False,,False,0,True,4,LIVE,,referenced by 4 python ref(s)
tirads_reextraction_queue_v1,BASE TABLE,4363,7,1316,False,False,,False,,False,0,True,1,LIVE,,referenced by 1 python ref(s)
tumor_episode_master_v2,BASE TABLE,11691,37,10871,False,False,,False,,False,0,True,84,LIVE,,referenced by 84 python ref(s)
tumor_pathology,BASE TABLE,4290,253,3986,False,False,,False,,False,0,True,84,LIVE,,referenced by 84 python ref(s)
tumor_stage_heterogeneity_v1,BASE TABLE,8422,17,8422,False,False,,False,,False,0,True,1,LIVE,,referenced by 1 python ref(s)
ultrasound_reports,BASE TABLE,6793,223,4074,False,False,,False,,False,0,True,45,LIVE,,referenced by 45 python ref(s)
us_nodules_tirads,BASE TABLE,10859,36,10859,False,False,,False,,False,0,True,30,LIVE,,referenced by 30 python ref(s)
us_nodules_tirads_vs_inm_v1_discordance_v1,BASE TABLE,1722,10,1722,False,False,,False,,False,0,True,2,LIVE,,referenced by 2 python ref(s)
