field_id,field_name,domain,canonical_metric,numerator,denominator,pct_available,limitation_type,limitation_source,why_computation_cannot_solve_it,analysis_allowed,methods_wording_prefix,safe_methods_sentence,safe_results_sentence,safe_limitations_sentence,verified_date,verified_source
SL-11,operative_estimated_blood_loss_ml,OPERATIVE,entity_in_nlp_vocabulary,0,9371,0.0%,PIPELINE_LIMITED,ebl_ml entity not in note_entities_procedures vocabulary; structured operative_details.bmi coverage is 1.3% (122/9368 rows) and ebl is not in that table,Same as SL-08. Cannot be solved by recomputation.,MANUAL_REVIEW_ONLY,Estimated blood loss,Estimated blood loss (EBL) was not systematically captured by the operative NLP extraction pipeline.,EBL data was not available from the extraction pipeline and was not reported.,"Estimated blood loss was not captured in operative NLP vocabulary. Structured EBL fields were absent from available source tables; accordingly EBL was not reported.",2026-03-14,MotherDuck:operative_episode_detail_v2
SL-12,note_corpus_coverage,NOTE_COVERAGE,patients_with_any_note,5641,10871,51.9%,SOURCE_LIMITED,"clinical_notes_long contains 11037 notes for 5641 patients (51.9%); the remaining 48.1% have structured pathology and lab data but no clinical notes in the research database extract",Note corpus coverage cannot be increased computationally. The 48.1% without notes were not included in the note extraction pipeline.,DESCRIPTIVE_ONLY (note-derived fields),Note corpus coverage,"Clinical notes (operative notes, H&P, endocrine notes, discharge summaries, and related types) were available for 5641 of 10871 patients (51.9%). NLP-derived variables (molecular marker context, operative findings, complication entity extraction) were ascertained from this subset. Structured pathology and laboratory variables were available for the full cohort independent of note availability.","Clinical notes were available for 5641 patients (51.9% of cohort). NLP-derived variables were accordingly restricted to this subset; structured variables were available cohort-wide.",Approximately half of the surgical cohort had no clinical notes in the research extract. NLP-derived variables may under-represent the full cohort; structured pathology variables are not subject to this limitation.,2026-03-14,MotherDuck:clinical_notes_long COUNT DISTINCT research_id
SL-13,ihc_braf_ve1,MOLECULAR,"ihc_braf with result in corpus",2,12886,0.016%,SOURCE_LIMITED,ve1 ihc pathology addendum reports are not in clinical_notes_long; only 2 ihc braf results were identifiable across all note types,IHC VE1 pathology addendum system is not linked to the clinical_notes_long corpus. Re-running NLP on existing notes will yield at most the same 2 results observed.,MANUAL_REVIEW_ONLY,IHC BRAF VE1,IHC BRAF (VE1 antibody) documentation was available in only 2 patients due to the absence of pathology addendum reports from the clinical notes corpus. BRAF positivity was determined primarily from molecular testing platform data (NGS n=361; NLP-confirmed entity n=173; total n=546). IHC-based BRAF status was not used as a primary analytic variable.,IHC-confirmed BRAF (VE1) was available in 2 patients and was not used for primary analysis. BRAF status was determined from molecular sequencing platforms.,IHC BRAF (VE1) data were unavailable for the vast majority of patients because pathology addendum reports were not included in the clinical notes extract.,2026-03-14,MotherDuck:patient_refined_master_clinical_v12
SL-14,tumor_size_cm_pathology,PATHOLOGY,pct_with_size,4130,10871,38.0%,PROCESS_LIMITED,"path_tumor_size_cm extracted from path_synoptics.tumor_1_size_greatest_dimension_cm; 62% missing reflects incomplete synoptic documentation in earlier cases and benign procedures without formal tumor measurement",Tumor size missingness reflects incomplete source documentation; it cannot be computed from other available fields. MICE imputation was applied for analytic samples requiring this variable.,SENSITIVITY_ONLY (with MICE imputation),Tumor size,Pathological tumor size (greatest dimension in cm) was available for 4130 of 10871 patients (38.0%) from synoptic pathology reports. For analyses requiring tumor size as a covariate multiple imputation by chained equations (MICE m=20) was used with cancer diagnostic category and patient demographics as auxiliary variables.,Tumor size was available in 4130 patients (38.0%); median 1.6 cm [IQR]. For multivariable models MICE imputation was applied across 20 imputed datasets.,Pathological tumor size was missing in 62.0% of patients primarily reflecting benign procedures and early cases with incomplete synoptic documentation. All analyses incorporating tumor size were repeated using MICE-imputed values.,2026-03-14,MotherDuck:manuscript_cohort_v1
SL-15,ln_positive_count,PATHOLOGY,pct_with_ln_pos,3603,10871,33.1%,PROCESS_LIMITED,"ln_pos count from synoptic pathology; missing in 66.9% reflecting benign procedures and partial lymph node documentation; MICE imputation applied",Same missingness source as SL-14. MICE handles this for analytic samples.,SENSITIVITY_ONLY (with MICE imputation),Lymph node status,Positive lymph node count was available from synoptic pathology for 3603 patients (33.1%). For multivariable analyses MICE imputation (m=20) was applied using available staging and diagnostic covariates.,Positive lymph nodes were documented in 3603 patients (33.1%); [value] patients were LN-positive.,Lymph node count was missing in 66.9% of patients primarily in benign procedures and early cases. MICE imputation was used for multivariable analyses requiring this variable.,2026-03-14,MotherDuck:manuscript_cohort_v1
SL-16,ajcc8_stage_calculability,STAGING,calculable_fraction,4083,10871,37.6%,PROCESS_LIMITED,"ajcc8 requires histology_type + tumor_size + ln_status + distant_mets; calculable only when all inputs non-null; 62.4% not calculable because benign procedures and missing tumor_size/ln_pos prevent calculation",AJCC8 staging cannot be computed without the required clinical inputs. MICE imputation resolves the numeric missingness; histology requirement limits staging to malignant cases (4136 cancer-eligible).,PRIMARY (for cancer cohort; restricted denominator),AJCC8 staging,"AJCC 8th edition staging was calculable in 4083 of 10871 patients (37.6%) and in 3996 of 4136 cancer-eligible patients (96.6%). Calculation required: histological diagnosis of thyroid malignancy, pathological tumour size, lymph node status, and absence of distant metastases. Benign procedures (n=6735) were not staged.",AJCC 8th edition staging was calculable in 4083 patients overall (37.6%) and in 96.6% of cancer-eligible patients (n=4136).,AJCC 8th edition staging was limited to patients with a confirmed malignant histological diagnosis and available tumour size and nodal status data. Benign procedures comprising 62% of the surgical cohort were not staged.,2026-03-14,MotherDuck:thyroid_scoring_py_v1
SL-17,ata_initial_risk_calculability,STAGING,calculable_fraction,3144,10871,28.9%,PROCESS_LIMITED,"ata 2015 initial risk requires histology + ete_grade + vascular_invasion + ln_count + molecular markers; lower calculability than ajcc8 because ete_grade and vascular grading are missing for more patients",ATA calculability is limited by input completeness. Once required staging variables are determined from pathology records the score is computed deterministically.,PRIMARY (for cancer cohort subset),ATA risk stratification,"ATA 2015 initial risk stratification was calculable in 3144 patients (28.9% of cohort; 76.0% of cancer-eligible patients). Required inputs were: histological diagnosis, ETE grade, vascular invasion status, lymph node characteristics, and age at surgery.",ATA 2015 initial risk was calculable in 3144 patients; high risk n=XXX (XX.X%) intermediate risk n=XXX (XX.X%) low risk n=XXX (XX.X%).,ATA initial risk was calculable in 76.0% of cancer-eligible patients; remaining patients lacked sufficient pathological detail for stratification.,2026-03-14,MotherDuck:thyroid_scoring_py_v1
SL-18,tirads_preoperative,IMAGING,patients_with_tirads,3474,10871,31.9%,SOURCE_LIMITED,"imaging structured us data from COMPLETE_MULTI_SHEET_ULTRASOUND_REPORTS.xlsx covers 4074 patients; serial_imaging_us.dominant_nodule_size_on_us is entirely null; US reports from outside institutions not available",TIRADS coverage is bounded by which patients underwent ultrasound at the study institution and had structured reports in the ingested Excel files. Cannot be increased computationally from current sources.,SENSITIVITY_ONLY,Preoperative TIRADS,"Preoperative ultrasound data were available from structured radiology spreadsheets (COMPLETE_MULTI_SHEET_ULTRASOUND_REPORTS.xlsx) for 3474 patients (31.9%). ACR TI-RADS scores were available directly or recalculated from component criteria (composition echogenicity shape margins calcifications). Patients lacking preoperative ultrasound data from this source were excluded from imaging-based analyses; this exclusion may be non-random as external or community ultrasound reports were not captured.",Preoperative TIRADS was available in 3474 patients (31.9%); the majority were TR4 (44.0%) and TR5 (24.1%) consistent with a surgical cohort enriched for high-risk nodules.,Preoperative TI-RADS scores were available for only 31.9% of the cohort because ultrasound reports were captured only from the institutional structured reporting system. Patients imaged at outside institutions contributed no imaging data.,2026-03-14,MotherDuck:extracted_tirads_validated_v1
SL-19,ene_extent_grade,PATHOLOGY,graded_fraction,178,2558,7.0%,TEMPLATE_LIMITED,"path_synoptics records ene as x/present (2389 present_ungraded) without extent; extent grading (focal/microscopic/macroscopic) requires free-text path report parsing; only 169 extensive/focal from multi-source extraction",Computational re-grading from synoptic 'x' data is impossible without free-text pathology report parsing. Extent grading was achieved for multi-source patients only.,DESCRIPTIVE_ONLY,Extranodal extension grade,Extranodal extension (ENE) was identified in 2558 patients by composite source (structured synoptic extranodal_extension field and multi-source NLP). ENE extent (focal/extensive) was gradable in 178 patients (7.0% of ENE-positive cases) from free-text pathology and operative note review; 2389 cases (83.5%) carried a present-ungraded designation from the synoptic checkbox.,ENE was documented in 2558 patients; extent grading was available in 178 (focal 169; extensive 4; other 5). The majority of ENE cases were present-ungraded.,ENE extent grading was limited by the synoptic pathology template which records ENE presence as a binary field. Graduated ENE extent required free-text pathology report parsing and was achievable for only 7.0% of ENE-positive cases.,2026-03-14,MotherDuck:patient_refined_master_clinical_v12
SL-20,ras_subtype_resolution,MOLECULAR,resolved_fraction,317,348,91.1%,PROCESS_LIMITED,31 remain ras_unspecified because molecular_testing free text and genetics raw columns do not specify subtype; thyroseq enrichment resolved 1 additional case; 31 are genuinely unresolvable from available source text,31 RAS_unspecified cases cannot be resolved without requesting original molecular test reports from the testing laboratory.,SENSITIVITY_ONLY,RAS molecular subtype,RAS mutations were identified in 337 patients (3.1% of cohort). Subtype resolution was successful in 317/348 RAS-subtype-queried patients (91.1%): NRAS n=196 HRAS n=114 KRAS n=59. Thirty-one patients remained RAS_unspecified because subtype information was absent from all available data sources.,RAS was mutated in 337 patients (NRAS 196; HRAS 114; KRAS 59; unspecified 31). [additional results].,Thirty-one RAS-positive patients had unspecified RAS subtype because sequencing subtype detail was absent from available molecular records. These patients were classified as RAS-positive in analyses not requiring subtype.,2026-03-14,MotherDuck:patient_refined_master_clinical_v12
