column_name,data_type,bucket,priority,n_nonnull,evidence,sample,proposed_action,cf_tag,bucket_order,priority_order
nsqip_operation_date,VARCHAR,VARCHAR-date-column,high,1261,"date-name column stored as VARCHAR; n_date_parseable=1,261/1,261",12/11/2023 | 03/01/2023 | 06/13/2023 | 07/27/2023 | 08/15/2024,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-nsqip_operation_date,2,1
cnln_latest_date,VARCHAR,VARCHAR-date-column,high,849,date-name column stored as VARCHAR; n_date_parseable=849/849,10/31/2022 | 10/10/2024 | 04/25/2023 | 05/07/2024 | 01/30/2024,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-cnln_latest_date,2,1
cnln_surg_last_date,VARCHAR,VARCHAR-date-column,high,721,date-name column stored as VARCHAR; n_date_parseable=721/721,10/31/2022 | 10/10/2024 | 04/25/2023 | 05/07/2024 | 01/30/2024,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-cnln_surg_last_date,2,1
cnln_earliest_date,VARCHAR,VARCHAR-date-column,high,603,date-name column stored as VARCHAR; n_date_parseable=603/603,2022-10-31 | 2024-10-10 | 2022-11-14 | 2024-05-07 | 2024-01-30,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-cnln_earliest_date,2,1
cnln_surg_first_date,VARCHAR,VARCHAR-date-column,high,484,date-name column stored as VARCHAR; n_date_parseable=484/484,2022-10-31 | 2024-10-10 | 2022-11-14 | 2024-05-07 | 2024-01-30,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-cnln_surg_first_date,2,1
cnln_img_last_date,VARCHAR,VARCHAR-date-column,high,166,date-name column stored as VARCHAR; n_date_parseable=166/166,2022-10-31 | 2024-10-17 | 2024-01-02 | 2024-10-08 | 2023-04-03,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-cnln_img_last_date,2,1
cnln_img_first_date,VARCHAR,VARCHAR-date-column,high,134,date-name column stored as VARCHAR; n_date_parseable=134/134,2022-10-31 | 2024-10-17 | 2024-01-02 | 2024-10-08 | 1991-07-17,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-cnln_img_first_date,2,1
nsqip_first_readmission_date,VARCHAR,VARCHAR-date-column,high,29,date-name column stored as VARCHAR; n_date_parseable=29/29,08/18/2024 | 03/07/2023 | 02/20/2024 | 05/05/2024 | 06/15/2024,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-nsqip_first_readmission_date,2,1
prm_margin_confidence,VARCHAR,VARCHAR-where-numeric,medium,3957,"n_numeric_parseable=3,957/3,957; n_unparseable=0",0.9 | 0.95 | 0.5,retype DOUBLE in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-NUMERIC-prm_margin_confidence,3,2
syn_tumor2_size_cm,VARCHAR,VARCHAR-where-numeric,medium,1304,"n_numeric_parseable=1,304/1,304; n_unparseable=0",0.3 | 0.1 | 0.2 | 0.7 | 1.3,retype DOUBLE in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-NUMERIC-syn_tumor2_size_cm,3,2
rai_dose_confidence_worst,VARCHAR,VARCHAR-where-numeric,medium,249,n_numeric_parseable=249/249; n_unparseable=0,0.85 | 0.65 | 0.55 | 0.6 | 0.4,retype DOUBLE in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-NUMERIC-rai_dose_confidence_worst,3,2
prm_margin_with_gross_ete,VARCHAR,VARCHAR-where-BOOLEAN,medium,3957,distinct normalized values subset of boolean tokens: false|true,false | true,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-prm_margin_with_gross_ete,4,2
ct_contrast_first,VARCHAR,VARCHAR-where-BOOLEAN,medium,3034,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-ct_contrast_first,4,2
ops_lu_para_visualized,VARCHAR,VARCHAR-where-BOOLEAN,medium,1462,distinct normalized values subset of boolean tokens: 0|1,1 | 0,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-ops_lu_para_visualized,4,2
nsqip_hypertension,VARCHAR,VARCHAR-where-BOOLEAN,medium,1410,distinct normalized values subset of boolean tokens: no|yes,Yes | No,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_hypertension,4,2
nsqip_smoker,VARCHAR,VARCHAR-where-BOOLEAN,medium,1410,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_smoker,4,2
nsqip_bleeding_disorder,VARCHAR,VARCHAR-where-BOOLEAN,medium,1261,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_bleeding_disorder,4,2
nsqip_copd,VARCHAR,VARCHAR-where-BOOLEAN,medium,1261,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_copd,4,2
nsqip_disseminated_cancer,VARCHAR,VARCHAR-where-BOOLEAN,medium,1261,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_disseminated_cancer,4,2
nsqip_heart_failure,VARCHAR,VARCHAR-where-BOOLEAN,medium,1261,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_heart_failure,4,2
nsqip_tobacco_use,VARCHAR,VARCHAR-where-BOOLEAN,medium,1261,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_tobacco_use,4,2
nsqip_death_30d,VARCHAR,VARCHAR-where-BOOLEAN,medium,1245,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_death_30d,4,2
nsqip_drain_usage,VARCHAR,VARCHAR-where-BOOLEAN,medium,950,distinct normalized values subset of boolean tokens: no|yes,Yes | No,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_drain_usage,4,2
nsqip_rln_monitoring,VARCHAR,VARCHAR-where-BOOLEAN,medium,944,distinct normalized values subset of boolean tokens: no|yes,Yes | No,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_rln_monitoring,4,2
nsqip_neoplasm,VARCHAR,VARCHAR-where-BOOLEAN,medium,691,distinct normalized values subset of boolean tokens: no|yes,Yes | No,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_neoplasm,4,2
nsqip_vessel_sealant,VARCHAR,VARCHAR-where-BOOLEAN,medium,690,distinct normalized values subset of boolean tokens: no|yes,Yes | No,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_vessel_sealant,4,2
nsqip_hypocalcemia_event,VARCHAR,VARCHAR-where-BOOLEAN,medium,689,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_hypocalcemia_event,4,2
nsqip_lateral_neck_dissection,VARCHAR,VARCHAR-where-BOOLEAN,medium,257,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-nsqip_lateral_neck_dissection,4,2
ops_cervical_ln_us_performed,VARCHAR,VARCHAR-where-BOOLEAN,medium,121,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-ops_cervical_ln_us_performed,4,2
ops_palpable_lesion,VARCHAR,VARCHAR-where-BOOLEAN,medium,5,distinct normalized values subset of boolean tokens: no|yes,No | Yes,retype BOOLEAN or map to explicit enum in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WHERE-BOOLEAN-ops_palpable_lesion,4,2
first_surgery_date,TIMESTAMP,TIMESTAMP-where-DATE-expected,high,10871,clinical date-name column stored as TIMESTAMP; has_subday=False,2000-03-29 | 2000-09-27 | 2000-07-11 | 2007-07-03 | 2023-02-21,consider DATE retype if calendar-only clinical date in mig_169b / date-retype lane,CF-mig169-DTYPE-TIMESTAMP-WHERE-DATE-first_surgery_date,5,1
last_contact_date,TIMESTAMP,TIMESTAMP-where-DATE-expected,high,10871,clinical date-name column stored as TIMESTAMP; has_subday=False,2000-03-29 | 2000-09-27 | 2000-07-11 | 2007-07-03 | 2023-02-21,consider DATE retype if calendar-only clinical date in mig_169b / date-retype lane,CF-mig169-DTYPE-TIMESTAMP-WHERE-DATE-last_contact_date,5,1
surg_first_date,TIMESTAMP,TIMESTAMP-where-DATE-expected,high,8731,clinical date-name column stored as TIMESTAMP; has_subday=False,2000-03-29 | 2000-09-27 | 2000-07-11 | 2007-07-03 | 2007-03-13,consider DATE retype if calendar-only clinical date in mig_169b / date-retype lane,CF-mig169-DTYPE-TIMESTAMP-WHERE-DATE-surg_first_date,5,1
recurrence_date,TIMESTAMP,TIMESTAMP-where-DATE-expected,high,1268,clinical date-name column stored as TIMESTAMP; has_subday=False,2024-01-18 | 2025-02-14 | 2024-05-07 | 2007-12-11 | 2023-12-05,consider DATE retype if calendar-only clinical date in mig_169b / date-retype lane,CF-mig169-DTYPE-TIMESTAMP-WHERE-DATE-recurrence_date,5,1
mol_test_date,TIMESTAMP,TIMESTAMP-where-DATE-expected,high,809,clinical date-name column stored as TIMESTAMP; has_subday=False,2023-05-15 | 2024-03-08 | 2024-09-13 | 2023-03-01 | 2023-07-31,consider DATE retype if calendar-only clinical date in mig_169b / date-retype lane,CF-mig169-DTYPE-TIMESTAMP-WHERE-DATE-mol_test_date,5,1
mol_first_test_date,TIMESTAMP,TIMESTAMP-where-DATE-expected,high,706,clinical date-name column stored as TIMESTAMP; has_subday=False,2023-05-15 | 2024-03-08 | 2024-09-13 | 2023-03-01 | 2023-07-31,consider DATE retype if calendar-only clinical date in mig_169b / date-retype lane,CF-mig169-DTYPE-TIMESTAMP-WHERE-DATE-mol_first_test_date,5,1
rai_first_date,TIMESTAMP,TIMESTAMP-where-DATE-expected,high,581,clinical date-name column stored as TIMESTAMP; has_subday=False,2024-03-14 | 2025-01-31 | 2017-12-28 | 2021-04-27 | 2024-10-17,consider DATE retype if calendar-only clinical date in mig_169b / date-retype lane,CF-mig169-DTYPE-TIMESTAMP-WHERE-DATE-rai_first_date,5,1
first_recurrence_date,TIMESTAMP,TIMESTAMP-where-DATE-expected,high,54,clinical date-name column stored as TIMESTAMP; has_subday=False,1960-09-18 | 2022-05-09 | 2016-12-13 | 2023-12-13 | 2022-11-07,consider DATE retype if calendar-only clinical date in mig_169b / date-retype lane,CF-mig169-DTYPE-TIMESTAMP-WHERE-DATE-first_recurrence_date,5,1
bethesda_num,DOUBLE,DOUBLE-where-INTEGER-expected,low,5026,"count-like name; integer-valued rows=5,026/5,026",4.0 | 3.0 | 2.0 | 6.0 | 5.0,consider BIGINT/INTEGER retype in mig_169b if semantically count-valued,CF-mig169-DTYPE-DOUBLE-WHERE-INTEGER-bethesda_num,6,3
nsqip_platelet_count,DOUBLE,DOUBLE-where-INTEGER-expected,low,1030,"count-like name; integer-valued rows=1,030/1,030",390.0 | 394.0 | 209.0 | 323.0 | 268.0,consider BIGINT/INTEGER retype in mig_169b if semantically count-valued,CF-mig169-DTYPE-DOUBLE-WHERE-INTEGER-nsqip_platelet_count,6,3
cnln_surg_max_positive_count,DOUBLE,DOUBLE-where-INTEGER-expected,low,516,count-like name; integer-valued rows=516/516,0.0 | 1.0 | 9.0 | 2.0 | 3.0,consider BIGINT/INTEGER retype in mig_169b if semantically count-valued,CF-mig169-DTYPE-DOUBLE-WHERE-INTEGER-cnln_surg_max_positive_count,6,3
cnln_surg_max_total_examined,DOUBLE,DOUBLE-where-INTEGER-expected,low,159,count-like name; integer-valued rows=159/159,1.0 | 11.0 | 2.0 | 10.0 | 6.0,consider BIGINT/INTEGER retype in mig_169b if semantically count-valued,CF-mig169-DTYPE-DOUBLE-WHERE-INTEGER-cnln_surg_max_total_examined,6,3
cnln_path_max_positive_count,DOUBLE,DOUBLE-where-INTEGER-expected,low,86,count-like name; integer-valued rows=86/86,1.0 | 0.0 | 5.0 | 2.0 | 10.0,consider BIGINT/INTEGER retype in mig_169b if semantically count-valued,CF-mig169-DTYPE-DOUBLE-WHERE-INTEGER-cnln_path_max_positive_count,6,3
nsqip_nodes_positive,DOUBLE,DOUBLE-where-INTEGER-expected,low,74,count-like name; integer-valued rows=74/74,4.0 | 0.0 | 5.0 | 1.0 | 2.0,consider BIGINT/INTEGER retype in mig_169b if semantically count-valued,CF-mig169-DTYPE-DOUBLE-WHERE-INTEGER-nsqip_nodes_positive,6,3
vascular_vessel_count,DOUBLE,DOUBLE-where-INTEGER-expected,low,46,count-like name; integer-valued rows=46/46,4.0 | 1.0 | 2.0 | 3.0 | 6.0,consider BIGINT/INTEGER retype in mig_169b if semantically count-valued,CF-mig169-DTYPE-DOUBLE-WHERE-INTEGER-vascular_vessel_count,6,3
