table_catalog,table_schema,table_name,table_type,n_columns,columns_preview,inventory_class,columns_preview_600
thyroid_canonical_publication_v1_0,main,note_entities_llm_esophageal_invasion,BASE TABLE,17,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version",LLM_OTHER_DOMAIN,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version"
thyroid_canonical_publication_v1_0,main,note_entities_llm_ete_subgrade_v1,BASE TABLE,14,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
thyroid_canonical_publication_v1_0,main,note_entities_llm_frozen_section_detail,BASE TABLE,23,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint",LLM_OTHER_DOMAIN,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
thyroid_canonical_publication_v1_0,main,note_entities_llm_parathyroid_detail_v1,BASE TABLE,14,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
thyroid_canonical_publication_v1_0,main,note_entities_llm_past_medical_hx,BASE TABLE,23,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
thyroid_canonical_publication_v1_0,main,note_entities_llm_past_surgical_hx,BASE TABLE,23,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint",LLM_OTHER_DOMAIN,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
thyroid_canonical_publication_v1_0,main,note_entities_llm_pathology,BASE TABLE,17,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version",LLM_OTHER_DOMAIN,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version"
thyroid_canonical_publication_v1_0,main,note_entities_llm_presenting_symptoms,BASE TABLE,23,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
thyroid_canonical_publication_v1_0,main,note_entities_llm_rai_detailed,BASE TABLE,23,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
thyroid_canonical_publication_v1_0,main,note_entities_llm_recurrence,BASE TABLE,23,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint",LLM_OTHER_DOMAIN,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
thyroid_canonical_publication_v1_0,main,note_entities_llm_t4b_invasion_v1,BASE TABLE,14,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
thyroid_canonical_publication_v1_0,main,note_entities_llm_vascular_invasion_v2,BASE TABLE,14,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
thyroid_canonical_publication_v1_0,main,canonical_us_exam_master_VIEW_v2,VIEW,23,"research_id, us_exam_id, exam_date, n_nodules_on_exam, largest_nodule_cm, second_largest_nodule_cm, bilateral_flag, isthmus_nodule_flag, worst_tirads_category_this_exam, worst_tirads_points_this_exam, best_tirads_category_this_exam, count_tr5, count_tr4, count_tr3, count_tr2, count_tr1, has_gland_findings, has_us_ln_findings, n_us_ln_total_on_exam, n_abnormal_us_ln_on_exam, exam_rank_for_patient, is_preop_exam, any_nlp_backfill_pending_on_exam",US_RELATED_TABLE,"research_id, us_exam_id, exam_date, n_nodules_on_exam, largest_nodule_cm, second_largest_nodule_cm, bilateral_flag, isthmus_nodule_flag, worst_tirads_category_this_exam, worst_tirads_points_this_exam, best_tirads_category_this_exam, count_tr5, count_tr4, count_tr3, count_tr2, count_tr1, has_gland_findings, has_us_ln_findings, n_us_ln_total_on_exam, n_abnormal_us_ln_on_exam, exam_rank_for_patient, is_preop_exam, any_nlp_backfill_pending_on_exam"
thyroid_canonical_publication_v1_0,main,canonical_us_lymph_node_events_v2,BASE TABLE,38,"research_id, us_exam_id, ln_event_id, ln_index, side, neck_level, region, size_short_mm, size_long_mm, size_max_mm, size_max_cm, shape, echogenicity, hilum_preserved, calcifications, cystic_component, vascularity_pattern, extranodal_extension_on_us, suspicious_flag, suspicion_level, biopsy_recommended, fna_of_ln_mentioned, washout_tg_mentioned, source_modality, source_table, source_row_id, source_note_type, source_report_id, evidence_text, confidence, llm_model, exam_date, date_confidence, date_source_keyword, extracted_at, exam_id_source, build_ts, build_migration",US_RELATED_TABLE,"research_id, us_exam_id, ln_event_id, ln_index, side, neck_level, region, size_short_mm, size_long_mm, size_max_mm, size_max_cm, shape, echogenicity, hilum_preserved, calcifications, cystic_component, vascularity_pattern, extranodal_extension_on_us, suspicious_flag, suspicion_level, biopsy_recommended, fna_of_ln_mentioned, washout_tg_mentioned, source_modality, source_table, source_row_id, source_note_type, source_report_id, evidence_text, confidence, llm_model, exam_date, date_confidence, date_source_keyword, extracted_at, exam_id_source, build_ts, build_migration"
thyroid_canonical_publication_v1_0,main,canonical_us_lymph_node_patient_rollup_v2,BASE TABLE,32,"research_id, has_us_ln_findings, n_us_ln_events, n_us_ln_exams, first_us_ln_exam_date, last_us_ln_exam_date, any_us_ln_suspicious, n_us_ln_suspicious, max_us_ln_short_axis_mm, max_us_ln_long_axis_mm, max_us_ln_size_mm, max_us_ln_size_cm, us_ln_sides_observed, us_ln_levels_observed, any_us_ln_extranodal_extension, any_us_ln_biopsy_recommended, any_us_ln_fna_mentioned, any_us_ln_washout_tg_mentioned, n_us_ln_events_textual_only, n_us_ln_events_high_confidence, tp_central_examined, tp_central_positive_total, tp_ln_central_positive, tp_ln_ene, tp_ln_examined, tp_ln_largest_deposit_cm, tp_ln_lateral_positive, tp_ln_levels_involved, tp_ln_positive, source_coverage_notes, build_ts, build_migration",US_RELATED_TABLE,"research_id, has_us_ln_findings, n_us_ln_events, n_us_ln_exams, first_us_ln_exam_date, last_us_ln_exam_date, any_us_ln_suspicious, n_us_ln_suspicious, max_us_ln_short_axis_mm, max_us_ln_long_axis_mm, max_us_ln_size_mm, max_us_ln_size_cm, us_ln_sides_observed, us_ln_levels_observed, any_us_ln_extranodal_extension, any_us_ln_biopsy_recommended, any_us_ln_fna_mentioned, any_us_ln_washout_tg_mentioned, n_us_ln_events_textual_only, n_us_ln_events_high_confidence, tp_central_examined, tp_central_positive_total, tp_ln_central_positive, tp_ln_ene, tp_ln_examined, tp_ln_largest_deposit_cm, tp_ln_latera"
thyroid_canonical_publication_v1_0,main,canonical_us_lymph_node_v2,BASE TABLE,29,"research_id, us_exam_id, exam_date, us_ln_index_within_exam, us_ln_id, source_modality, laterality, neck_level, region, size_cm_max, short_axis_mm, long_axis_mm, shape, echogenicity, hilum_preserved, calcifications, cystic_component, vascularity_pattern, extranodal_extension_on_us, suspicious_flag, suspicion_level, biopsy_recommended, evidence_text, source_note_type, source_report_id, llm_model, confidence, extracted_at, nlp_backfill_pending",US_RELATED_TABLE,"research_id, us_exam_id, exam_date, us_ln_index_within_exam, us_ln_id, source_modality, laterality, neck_level, region, size_cm_max, short_axis_mm, long_axis_mm, shape, echogenicity, hilum_preserved, calcifications, cystic_component, vascularity_pattern, extranodal_extension_on_us, suspicious_flag, suspicion_level, biopsy_recommended, evidence_text, source_note_type, source_report_id, llm_model, confidence, extracted_at, nlp_backfill_pending"
thyroid_canonical_publication_v1_0,main,canonical_us_nodule_v2,BASE TABLE,57,"research_id, us_exam_id, exam_date, nodule_index_within_exam, nodule_id, laterality, location_raw, location_detail, length_mm, width_mm, height_mm, volume_ml, size_cm_max, extracted_size_cm, composition, echogenicity, shape, margins, calcifications, echogenic_foci, halo, vascularity, extrathyroidal_extension_on_us, chammas_type, elastography_category, composition_pts, echogenicity_pts, shape_pts, margin_pts, foci_pts, tirads_reported_in_text, acr2017_tirads_points, acr2017_tirads_category, updated_tirads_category, acr2017_band_ambiguous, acr2017_vs_updated_concordant, suspicious_flag, acr2017_feature_points_complete, interval_growth_flag, prior_size_mm_max, fna_recommended_this_nodule, fna_performed_prior_or_concurrent, comparison_statement, source_base, source_tirads_v2, source_tirads_llm, source_dynamics_llm, source_fna_linkage, source_us_nodules_tirads, source_tables_cunc_legacy, data_completeness_pct, resolution_rule, calcifications_coverage_status, nodule_master_id, is_aggregate_row, nlp_backfill_pending, source_modality",US_RELATED_TABLE,"research_id, us_exam_id, exam_date, nodule_index_within_exam, nodule_id, laterality, location_raw, location_detail, length_mm, width_mm, height_mm, volume_ml, size_cm_max, extracted_size_cm, composition, echogenicity, shape, margins, calcifications, echogenic_foci, halo, vascularity, extrathyroidal_extension_on_us, chammas_type, elastography_category, composition_pts, echogenicity_pts, shape_pts, margin_pts, foci_pts, tirads_reported_in_text, acr2017_tirads_points, acr2017_tirads_category, updated_tirads_category, acr2017_band_ambiguous, acr2017_vs_updated_concordant, suspicious_flag, acr2017_"
thyroid_canonical_publication_v1_0,main,canonical_us_patient_master_VIEW_v2,VIEW,28,"research_id, has_any_us, n_us_exams, first_us_date, last_us_date, preop_us_available_flag, max_tirads_category_ever, max_tirads_points_ever, tirads_category_at_first_exam, tirads_category_at_last_preop_exam, n_nodules_total_across_exams, bilateral_disease_flag_ever, multifocal_flag_ever, first_high_risk_tirads_date, has_us_ln_findings_ever, any_suspicious_us_ln_ever, first_abnormal_us_ln_date, has_gland_findings_ever, any_nlp_backfill_pending_for_patient, imaging_laterality_rollup_v2, pathology_vs_imaging_laterality_concordant_v2, tumor_pathology_laterality_v2, any_fna_recommended_report_ever, any_fna_recommended_report_source, tirads_worst_rank_ever, tirads_worst_rank_source, max_nodule_size_mm, n_nodule_records",US_RELATED_TABLE,"research_id, has_any_us, n_us_exams, first_us_date, last_us_date, preop_us_available_flag, max_tirads_category_ever, max_tirads_points_ever, tirads_category_at_first_exam, tirads_category_at_last_preop_exam, n_nodules_total_across_exams, bilateral_disease_flag_ever, multifocal_flag_ever, first_high_risk_tirads_date, has_us_ln_findings_ever, any_suspicious_us_ln_ever, first_abnormal_us_ln_date, has_gland_findings_ever, any_nlp_backfill_pending_for_patient, imaging_laterality_rollup_v2, pathology_vs_imaging_laterality_concordant_v2, tumor_pathology_laterality_v2, any_fna_recommended_report_ever,"
