detail_table_name,wildcard_feed_col,like_pattern,expansion_count,kept_as_is,expanded_into,audit_tag
note_entities_llm_frozen_section_detail,nlp_frozensec_* columns,nlp_frozensec_%,4,False,nlp_frozensec_has_data;nlp_frozensec_key_finding;nlp_frozensec_n_entities;nlp_frozensec_n_notes,wildcard_expansion
note_entities_llm_functional_outcomes,nlp_funcoutcome_* columns,nlp_funcoutcome_%,4,False,nlp_funcoutcome_has_data;nlp_funcoutcome_key_finding;nlp_funcoutcome_n_entities;nlp_funcoutcome_n_notes,wildcard_expansion
note_entities_llm_imaging,nlp_imaging_* columns,nlp_imaging_%,4,False,nlp_imaging_has_data;nlp_imaging_key_finding;nlp_imaging_n_entities;nlp_imaging_n_notes,wildcard_expansion
note_entities_llm_labs,nlp_labs_* columns,nlp_labs_%,4,False,nlp_labs_has_data;nlp_labs_key_finding;nlp_labs_n_entities;nlp_labs_n_notes,wildcard_expansion
note_entities_llm_parathyroid_detail,nlp_parathyroid_* columns,nlp_parathyroid_%,4,False,nlp_parathyroid_has_data;nlp_parathyroid_key_finding;nlp_parathyroid_n_entities;nlp_parathyroid_n_notes,wildcard_expansion
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,59,True,,guardrail_deferred_oversized
note_entities_llm_past_surgical_hx,pshx_nlp_* columns (prior thyroidectomy,pshx_nlp_%,15,False,pshx_nlp_n_prior_procedures;pshx_nlp_prior_fna;pshx_nlp_prior_fna_n_mentions;pshx_nlp_prior_neck_dissection;pshx_nlp_prior_neck_surgery;pshx_nlp_prior_neck_surgery_n_mentions;pshx_nlp_prior_parathyroidectomy;pshx_nlp_prior_rai;pshx_nlp_prior_rai_date;pshx_nlp_prior_rai_days_from_surg;pshx_nlp_prior_rai_n_mentions;pshx_nlp_prior_thyroidectomy;pshx_nlp_prior_thyroidectomy_date;pshx_nlp_prior_thyroidectomy_days_from_surg;pshx_nlp_prior_thyroidectomy_n_mentions,wildcard_expansion
note_entities_llm_pathology,nlp_path_* columns,nlp_path_%,10,False,nlp_path_ete_mentioned;nlp_path_has_data;nlp_path_histology_mentioned;nlp_path_ln_positive_mentioned;nlp_path_margin_mentioned;nlp_path_multifocal_concordance_v2;nlp_path_multifocal_mentioned;nlp_path_n_entities;nlp_path_n_notes;nlp_path_vasc_inv_mentioned,wildcard_expansion
note_entities_llm_patient_decision_adherence,nlp_ptdecision_* columns,nlp_ptdecision_%,4,False,nlp_ptdecision_has_data;nlp_ptdecision_key_finding;nlp_ptdecision_n_entities;nlp_ptdecision_n_notes,wildcard_expansion
note_entities_llm_physical_exam,nlp_physexam_* columns,nlp_physexam_%,4,False,nlp_physexam_has_data;nlp_physexam_key_finding;nlp_physexam_n_entities;nlp_physexam_n_notes,wildcard_expansion
note_entities_llm_presenting_symptoms,sx_nlp_* columns (hoarseness,sx_nlp_%,5,False,sx_nlp_any_symptom_data;sx_nlp_dysphagia;sx_nlp_dyspnea;sx_nlp_hoarseness;sx_nlp_neck_mass,wildcard_expansion
note_entities_llm_rad_treatment,radtx_nlp_* columns,radtx_nlp_%,7,False,radtx_nlp_external_beam_radiation;radtx_nlp_has_data;radtx_nlp_hormone_withdrawal;radtx_nlp_post_tx_scan_negative;radtx_nlp_rai_ablation;radtx_nlp_rai_ablation_n_mentions;radtx_nlp_thyrogen_prep,wildcard_expansion
note_entities_llm_rai_detailed,nlp_raidetail_* columns,nlp_raidetail_%,4,False,nlp_raidetail_has_data;nlp_raidetail_key_finding;nlp_raidetail_n_entities;nlp_raidetail_n_notes,wildcard_expansion
note_entities_llm_recurrence,nlp_rec_* columns,nlp_rec_%,8,False,nlp_rec_any_mentioned;nlp_rec_confidence_tier;nlp_rec_disease_free_mentioned;nlp_rec_earliest_date;nlp_rec_earliest_days_from_surg;nlp_rec_has_data;nlp_rec_n_entities;nlp_rec_type_worst,wildcard_expansion
note_entities_llm_survival_followup,nlp_survfu_* columns,nlp_survfu_%,4,False,nlp_survfu_has_data;nlp_survfu_key_finding;nlp_survfu_n_entities;nlp_survfu_n_notes,wildcard_expansion
note_entities_llm_synoptic_pathology_enrichment,nlp_synoptic_* columns,nlp_synoptic_%,4,False,nlp_synoptic_has_data;nlp_synoptic_key_finding;nlp_synoptic_n_entities;nlp_synoptic_n_notes,wildcard_expansion
note_entities_llm_tg_kinetics,nlp_tg_* columns,nlp_tg_%,4,False,nlp_tg_has_data;nlp_tg_n_entities;nlp_tg_rising_mentioned;nlp_tg_undetectable_mentioned,wildcard_expansion
note_entities_llm_tirads_granular,nlp_tirads_* columns,nlp_tirads_%,5,False,nlp_tirads_has_component_detail;nlp_tirads_has_data;nlp_tirads_max_category;nlp_tirads_n_entities;nlp_tirads_n_notes,wildcard_expansion
note_entities_llm_us_nodule_dynamics,nlp_usnodule_* columns,nlp_usnodule_%,4,False,nlp_usnodule_has_data;nlp_usnodule_key_finding;nlp_usnodule_n_entities;nlp_usnodule_n_notes,wildcard_expansion
note_entities_llm_vascular_invasion,nlp_vasc_* columns,nlp_vasc_%,4,False,nlp_vasc_confidence_tier;nlp_vasc_has_data;nlp_vasc_n_entities;nlp_vasc_positive_mentioned,wildcard_expansion
note_entities_medications,med_nlp_* columns,med_nlp_%,15,False,med_nlp_calcitriol;med_nlp_calcitriol_date;med_nlp_calcitriol_days_from_surg;med_nlp_calcitriol_n_mentions;med_nlp_calcium_supplement;med_nlp_calcium_supplement_date;med_nlp_calcium_supplement_days_from_surg;med_nlp_calcium_supplement_n_mentions;med_nlp_extraction_method;med_nlp_levothyroxine;med_nlp_levothyroxine_date;med_nlp_levothyroxine_days_from_surg;med_nlp_levothyroxine_n_mentions;med_nlp_n_source_notes;med_nlp_note_types,wildcard_expansion
note_entities_operative_detail,op_nlp_* columns,op_nlp_%,44,True,,guardrail_deferred_oversized
note_entities_problem_list,pmhx_nlp_* columns (indirectly),pmhx_nlp_%,59,True,,guardrail_deferred_oversized
note_entities_procedures,proc_nlp_* columns,proc_nlp_%,15,False,proc_nlp_extraction_method;proc_nlp_laryngoscopy;proc_nlp_laryngoscopy_date;proc_nlp_laryngoscopy_days_from_surg;proc_nlp_laryngoscopy_n_mentions;proc_nlp_lateral_neck_dissection;proc_nlp_mrnd;proc_nlp_mrnd_n_mentions;proc_nlp_n_source_notes;proc_nlp_note_types;proc_nlp_parathyroid_autotransplant;proc_nlp_tracheostomy;proc_nlp_tracheostomy_date;proc_nlp_tracheostomy_days_from_surg;proc_nlp_tracheostomy_n_mentions,wildcard_expansion
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,102,True,,guardrail_deferred_oversized
operative_episode_detail_v2,op_* columns,op_%,103,True,,guardrail_deferred_oversized
path_synoptics,syn_* columns (~50),syn_%,41,True,,guardrail_deferred_oversized
